,car_name,mpg,cyl,disp,hp,wt,acc,yr,origin
0,chevrolet chevelle malibu,18.0,8,307.0,130,3504,12.0,70,1
1,buick skylark 320,15.0,8,350.0,165,3693,11.5,70,1
2,plymouth satellite,18.0,8,318.0,150,3436,11.0,70,1
3,amc rebel sst,16.0,8,304.0,150,3433,12.0,70,1
4,ford torino,17.0,8,302.0,140,3449,10.5,70,1
5,ford galaxie 500,15.0,8,429.0,198,4341,10.0,70,1
6,chevrolet impala,14.0,8,454.0,220,4354,9.0,70,1
7,plymouth fury iii,14.0,8,440.0,215,4312,8.5,70,1
8,pontiac catalina,14.0,8,455.0,225,4425,10.0,70,1
9,amc ambassador dpl,15.0,8,390.0,190,3850,8.5,70,1
10,dodge challenger se,15.0,8,383.0,170,3563,10.0,70,1
11,plymouth 'cuda 340,14.0,8,340.0,160,3609,8.0,70,1
12,chevrolet monte carlo,15.0,8,400.0,150,3761,9.5,70,1
13,buick estate wagon (sw),14.0,8,455.0,225,3086,10.0,70,1
14,toyota corona mark ii,24.0,4,113.0,95,2372,15.0,70,3
15,plymouth duster,22.0,6,198.0,95,2833,15.5,70,1
16,amc hornet,18.0,6,199.0,97,2774,15.5,70,1
17,ford maverick,21.0,6,200.0,85,2587,16.0,70,1
18,datsun pl510,27.0,4,97.0,88,2130,14.5,70,3
19,volkswagen 1131 deluxe sedan,26.0,4,97.0,46,1835,20.5,70,2
20,peugeot 504,25.0,4,110.0,87,2672,17.5,70,2
21,audi 100 ls,24.0,4,107.0,90,2430,14.5,70,2
22,saab 99e,25.0,4,104.0,95,2375,17.5,70,2
23,bmw 2002,26.0,4,121.0,113,2234,12.5,70,2
24,amc gremlin,21.0,6,199.0,90,2648,15.0,70,1
25,ford f250,10.0,8,360.0,215,4615,14.0,70,1
26,chevy c20,10.0,8,307.0,200,4376,15.0,70,1
27,dodge d200,11.0,8,318.0,210,4382,13.5,70,1
28,hi 1200d,9.0,8,304.0,193,4732,18.5,70,1
29,datsun pl510,27.0,4,97.0,88,2130,14.5,71,3
30,chevrolet vega 2300,28.0,4,140.0,90,2264,15.5,71,1
31,toyota corona,25.0,4,113.0,95,2228,14.0,71,3
32,ford pinto,25.0,4,98.0,?,2046,19.0,71,1
33,amc gremlin,19.0,6,232.0,100,2634,13.0,71,1
34,plymouth satellite custom,16.0,6,225.0,105,3439,15.5,71,1
35,chevrolet chevelle malibu,17.0,6,250.0,100,3329,15.5,71,1
36,ford torino 500,19.0,6,250.0,88,3302,15.5,71,1
37,amc matador,18.0,6,232.0,100,3288,15.5,71,1
38,chevrolet impala,14.0,8,350.0,165,4209,12.0,71,1
39,pontiac catalina brougham,14.0,8,400.0,175,4464,11.5,71,1
40,ford galaxie 500,14.0,8,351.0,153,4154,13.5,71,1
41,plymouth fury iii,14.0,8,318.0,150,4096,13.0,71,1
42,dodge monaco (sw),12.0,8,383.0,180,4955,11.5,71,1
43,ford country squire (sw),13.0,8,400.0,170,4746,12.0,71,1
44,pontiac safari (sw),13.0,8,400.0,175,5140,12.0,71,1
45,amc hornet sportabout (sw),18.0,6,258.0,110,2962,13.5,71,1
